Symbol	Date	SULON	SULAT	SUDEC	SUSP	MOLON	MOLAT	MODEC	MOSP	MELON	MELAT	MEDEC	MESP	VELON	VELAT	VEDEC	VESP	MALON	MALAT	MADEC	MASP	JULON	JULAT	JUDEC	JUSP	SALON	SALAT	SADEC	SASP	URLON	URLAT	URDEC	URSP	NELON	NELAT	NEDEC	NESP	PLLON	PLLAT	PLDEC	PLSP	NNLON	NNLAT	NNDEC	NNSP	SNLON	SNLAT	SNDEC	SNSP
ORCL	1986-03-12 09:30:00	351.72	0	-3.28	0.998	14.89	-1.39	4.59	12.41	359.45	3.6	3.08	-0.681	4.3	-1.21	0.6	1.244	261.84	0.29	-22.9	0.541	334.75	-0.86	-10.57	0.235	249.67	1.94	-19.99	0.011	262.28	-0.07	-23.29	0.013	275.62	1.08	-22.25	0.014	217.07	16.95	2.18	-0.017	32.08	0	12.2	-0.053	212.08	0	-12.2	-0.053
PCG	1947-06-06 10:00:00	75.02	0	22.61	0.957	285.38	-3.59	-26.12	11.835	96.49	2.09	25.37	1.522	51.14	-1.39	16.7	1.21	42.22	-0.6	14.93	0.736	229.91	1.13	-16.64	-0.105	125.33	0.68	19.61	0.097	81.49	0.1	23.28	0.059	188.07	1.54	-1.79	-0.007	131.4	6.8	23.9	0.018	61.85	0	20.54	-0.053	241.85	0	-20.54	-0.053
PEG	1986-05-01 09:30:00	40.88	0	15.09	0.971	316.18	-5.07	-20.83	13.45	19.72	-2.55	5.35	1.632	65.8	0.7	21.97	1.216	285.29	-1.17	-23.73	0.364	345.46	-0.98	-6.64	0.184	248.27	2.03	-19.68	-0.061	261.87	-0.08	-23.28	-0.027	275.66	1.1	-22.22	-0.012	215.83	17.09	2.7	-0.028	29.44	0	11.28	-0.053	209.44	0	-11.28	-0.053
PEP	1919-12-18 10:00:00	265.65	0	-23.38	1.018	224.31	-0.94	-17.04	11.795	244.33	2.48	-18.58	0.776	220.6	2.61	-12.52	1.135	189.75	1.85	-2.16	0.521	137.86	0.74	16.19	-0.043	161.66	1.74	8.8	0.009	328.47	-0.74	-12.7	0.033	131.23	-0.03	17.38	-0.018	96.95	-3.92	19.35	-0.02	233.09	0	-18.55	-0.053	53.09	0	18.55	-0.053
PG	1929-09-12 10:00:00	169.31	0	4.23	0.973	277.04	-4.1	-27.35	11.847	195.99	-2.58	-8.67	0.967	134.29	0.17	16.71	1.19	194.03	0.41	-5.16	0.657	75.55	-0.79	21.88	0.073	264.07	1	-22.32	0.024	10.2	-0.73	3.37	-0.037	151.8	0.6	11.39	0.036	109.34	-0.37	21.69	0.015	44.78	0	16.28	-0.053	224.78	0	-16.28	-0.053
R	1960-09-19 10:00:00	176.62	0	1.35	0.977	160.33	-0.48	7.25	12.571	192.02	-0.01	-4.76	1.581	200.62	0.59	-7.51	1.229	89.18	-0.14	23.3	0.523	265.14	0.09	-23.26	0.089	281.83	0.27	-22.65	0.006	143.58	0.69	14.31	0.055	217.38	1.73	-12.34	0.03	156.6	12.22	20.4	0.032	164.82	0	5.98	-0.053	344.82	0	-5.98	-0.053
UNP	1969-06-20 10:00:00	89.05	0	23.44	0.954	150.56	2.09	13.23	12.098	67.12	-3.76	17.79	0.736	43.37	-2.89	13.1	0.975	243.83	-2.92	-23.79	-0.235	177.26	1.32	2.3	0.08	35.86	-2.32	11.28	0.093	179.95	0.73	0.69	0.012	236.51	1.75	-17.67	-0.022	172.49	15.51	17.18	0.01	355.58	0	-1.76	-0.053	175.58	0	1.76	-0.053
WMT	1972-08-25 10:00:00	152.45	0	10.6	0.965	343.06	3.81	-3.13	14.045	134.13	-0.51	16.1	0.952	106.66	-3.09	19.34	0.949	156.7	1.08	10.06	0.636	268.49	0.04	-23.39	0.001	79.31	-1.57	21.45	0.065	195.93	0.62	-5.7	0.05	242.52	1.63	-19.07	0.006	180.79	15.88	14.23	0.034	294.05	0	-21.3	-0.053	114.05	0	21.3	-0.053
BTC	2009-01-12 03:30:00	292.06	0	-21.63	1.019	126.14	0.29	19.02	14.947	307.74	0.92	-17.45	-0.086	339.15	-0.63	-8.72	1.037	281.95	-0.79	-23.69	0.76	301.52	-0.42	-20.24	0.235	171.65	2.1	5.24	-0.021	349.6	-0.75	-4.8	0.036	322.79	-0.35	-14.25	0.034	271.65	5.68	-17.75	0.035	310.37	0	-17.64	-0.053	130.37	0	17.64	-0.053
LINK	2017-09-16 21:26:00	174.19	0	2.31	0.976	131.84	-1.1	16.17	13.958	157.38	1.24	9.96	1.437	146.15	0.81	13.56	1.217	157.3	1.17	9.92	0.634	205.06	1.06	-8.71	0.2	261.59	1.11	-22.06	0.036	27.76	-0.6	10.12	-0.032	342.53	-0.94	-7.73	-0.027	286.89	0.64	-21.73	-0.006	142.52	0	14.01	-0.053	322.52	0	-14.01	-0.053
BNB	2017-07-05 14:31:00	103.76	0	22.72	0.953	244.64	5.08	-16.07	11.865	119.24	1.85	22.12	1.857	60.65	-2.59	17.75	1.098	110.34	1.03	22.92	0.651	194.2	1.29	-4.41	0.074	263.07	1.32	-21.94	-0.066	28.19	-0.57	10.29	0.023	344.17	-0.91	-7.07	-0.01	288.24	0.77	-21.43	-0.024	146.4	0	12.72	-0.053	326.4	0	-12.72	-0.053
BAT	2017-05-29 18:45:00	68.58	0	21.73	0.959	123.89	-2.03	17.3	14.206	46.36	-2.65	14.19	1.506	22.83	-2	7.02	0.925	86.07	0.86	24.23	0.668	193.39	1.45	-3.95	-0.032	265.71	1.37	-22	-0.069	26.9	-0.56	9.84	0.046	344.18	-0.89	-7.05	0.01	289.04	0.83	-21.26	-0.017	148.35	0	12.05	-0.053	328.35	0	-12.05	-0.053
ZRX	2017-08-11 18:39:00	139.27	0	15.04	0.959	7.37	-3.62	-0.4	13.38	161.57	-3.73	3.78	0.111	102.97	-1.01	21.8	1.171	134.3	1.14	17.62	0.64	198.56	1.15	-6.21	0.154	261.33	1.22	-21.93	-0.022	28.5	-0.59	10.39	-0.007	343.5	-0.93	-7.35	-0.024	287.38	0.71	-21.6	-0.02	144.43	0	13.38	-0.053	324.43	0	-13.38	-0.053
ADA	2017-09-23 21:44:00	181.05	0	-0.42	0.979	224.6	5.11	-11.33	12.341	168.9	1.84	6.08	1.779	154.71	1.06	10.77	1.224	161.74	1.17	8.24	0.634	206.49	1.05	-9.24	0.206	261.88	1.09	-22.1	0.047	27.53	-0.6	10.03	-0.035	342.35	-0.94	-7.8	-0.026	286.86	0.63	-21.75	-0.002	142.14	0	14.13	-0.053	322.14	0	-14.13	-0.053
LTC	2011-10-08 06:29:00	194.64	0	-5.77	0.987	332.67	4.92	-5.93	12.171	201.59	0.41	-8.03	1.656	208.79	0.71	-10.38	1.243	131.47	1.23	18.52	0.582	37.96	-1.48	12.76	-0.114	199.5	2.25	-5.55	0.122	2.09	-0.77	0.13	-0.039	328.42	-0.56	-12.54	-0.017	275.01	4.16	-19.19	0.011	257.47	0	-22.85	-0.053	77.47	0	22.85	-0.053
ZEC	2016-10-28 16:19:00	215.67	0	-13.41	0.999	193.26	2.69	-2.76	11.969	216.32	0.4	-13.25	1.641	252.55	-1.58	-23.86	1.206	291.6	-1.99	-23.67	0.718	190.51	1.12	-3.13	0.206	254.05	1.37	-21.13	0.101	21.97	-0.63	7.97	-0.039	339.38	-0.87	-8.86	-0.012	285.19	1.14	-21.44	0.016	159.63	0	7.96	-0.053	339.63	0	-7.96	-0.053
DASH	2014-01-19 03:54:00	298.98	0	-20.36	1.018	151.25	-4.41	6.9	12.002	312.14	-1.76	-18.84	1.655	286.82	6.45	-15.98	-0.493	199.01	2.38	-5.24	0.362	103.7	0.16	22.89	-0.126	231.81	2.22	-16.07	0.068	9.04	-0.67	2.96	0.027	333.76	-0.67	-10.75	0.032	281.89	2.72	-20.2	0.034	213.31	0	-12.61	-0.053	33.31	0	12.61	-0.053
EOS	2018-06-09 11:56:00	78.61	0	22.95	0.957	20.9	-4.94	3.57	13.383	82.83	1.24	24.48	2.179	114.83	2	23.13	1.173	307.42	-3.43	-21.73	0.201	224.77	1.19	-15.13	-0.088	277.15	0.87	-22.37	-0.068	31.21	-0.53	11.4	0.043	346.47	-0.95	-6.22	0.005	290.77	0.22	-21.61	-0.02	128.45	0	18.15	-0.053	308.45	0	-18.15	-0.053
