Date,pID,Lon,CM
2009-02-15,SN,128.55,xiPup
2009-02-15,CE,159.39,chUMa
2009-02-15,CH,321.54,epAqr
2009-02-15,JN,310.25,beCap
2009-02-15,PA,69.25,epTau
2009-02-15,PH,252.77,siSco
2009-02-15,VS,40.52,beAri
2009-02-16,SU,327.93,gaEqu
2009-02-16,MO,233.22,xi-2Lib
2009-02-16,ME,301.97,muLyr
2009-02-16,VE,9.58,alPeg
2009-02-16,MA,309.17,beCap
2009-02-16,JU,309.83,beCap
2009-02-16,SA,169.94,chUMa
2009-02-16,UR,351.23,alAqr
2009-02-16,NE,324.09,gaEqu
2009-02-16,PL,272.72,ga-2Sgr
2009-02-16,NN,308.5,beCap
2009-02-16,SN,128.5,xiPup
2009-02-16,CE,159.18,chUMa
2009-02-16,CH,321.61,epAqr
2009-02-16,JN,310.66,beCap
2009-02-16,PA,69.56,epTau
2009-02-16,PH,252.79,siSco
2009-02-16,VS,40.83,beAri
2009-02-17,SU,328.94,gaEqu
2009-02-17,MO,245.31,piSco
2009-02-17,ME,303.1,muLyr
2009-02-17,VE,10.15,alPeg
2009-02-17,MA,309.95,beCap
2009-02-17,JU,310.06,beCap
2009-02-17,SA,169.87,chUMa
2009-02-17,UR,351.28,alAqr
2009-02-17,NE,324.13,gaEqu
2009-02-17,PL,272.74,ga-2Sgr
2009-02-17,NN,308.45,beCap
2009-02-17,SN,128.45,xiPup
2009-02-17,CE,158.95,chUMa
2009-02-17,CH,321.69,epAqr
2009-02-17,JN,311.07,beCap
2009-02-17,PA,69.87,epTau
2009-02-17,PH,252.81,siSco
2009-02-17,VS,41.14,beAri
2009-02-18,SU,329.95,gaEqu
2009-02-18,MO,257.23,alHer
2009-02-18,ME,304.27,beCap
2009-02-18,VE,10.7,psPeg
2009-02-18,MA,310.73,beCap
2009-02-18,JU,310.29,beCap
2009-02-18,SA,169.8,chUMa
2009-02-18,UR,351.34,alAqr
2009-02-18,NE,324.16,gaEqu
2009-02-18,PL,272.76,ga-2Sgr
2009-02-18,NN,308.4,beCap
2009-02-18,SN,128.4,xiPup
2009-02-18,CE,158.73,chUMa
2009-02-18,CH,321.76,epAqr
2009-02-18,JN,311.48,beCap
2009-02-18,PA,70.19,epTau
2009-02-18,PH,252.83,siSco
2009-02-18,VS,41.46,beAri
2009-02-19,SU,330.96,gaEqu
2009-02-19,MO,269.05,alHer
2009-02-19,ME,305.47,beCap
2009-02-19,VE,11.23,psPeg
2009-02-19,MA,311.51,beCap
2009-02-19,JU,310.52,beCap
2009-02-19,SA,169.73,chUMa
2009-02-19,UR,351.39,alAqr
2009-02-19,NE,324.2,gaEqu
2009-02-19,PL,272.79,ga-2Sgr
2009-02-19,NN,308.34,beCap
2009-02-19,SN,128.34,xiPup
2009-02-19,CE,158.5,chUMa
2009-02-19,CH,321.83,epAqr
2009-02-19,JN,311.9,epAqr
2009-02-19,PA,70.51,epTau
2009-02-19,PH,252.85,siSco
2009-02-19,VS,41.78,beAri
2009-02-20,SU,331.96,gaEqu
2009-02-20,MO,280.86,muLyr
2009-02-20,ME,306.7,beCap
2009-02-20,VE,11.73,psPeg
2009-02-20,MA,312.29,epAqr
2009-02-20,JU,310.75,beCap
2009-02-20,SA,169.65,chUMa
2009-02-20,UR,351.45,alAqr
2009-02-20,NE,324.24,gaEqu
2009-02-20,PL,272.81,ga-2Sgr
2009-02-20,NN,308.29,beCap
2009-02-20,SN,128.29,xiPup
2009-02-20,CE,158.27,chUMa
2009-02-20,CH,321.9,epAqr
2009-02-20,JN,312.31,epAqr
2009-02-20,PA,70.85,epTau
2009-02-20,PH,252.86,siSco
2009-02-20,VS,42.1,beAri
2009-02-21,SU,332.97,gaEqu
2009-02-21,MO,292.73,muLyr
2009-02-21,ME,307.95,beCap
