PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JU_SN_a0,1,43,0,0.017,-0.002,-0.001,0.01,-0.051,0.052,0.103,0.495,2.68,0.003
NN_PL_a90,1,159,0.009,0.04,0.003,0.005,0.022,-0.169,0.15,0.319,0.689,4.061,0.003
SN_PL_a90,1,158,0.009,0.039,0.003,0.005,0.022,-0.169,0.15,0.319,0.729,4.245,0.003
ME_CE_a0,1,95,-0.007,0.041,-0.005,-0.007,0.022,-0.119,0.188,0.307,0.727,5.399,0.004
CE_NN_a150,1,212,0.002,0.029,-0.001,-0.001,0.012,-0.08,0.235,0.314,3.668,25.036,0.002
CE_SN_a30,1,212,0.002,0.029,-0.001,-0.001,0.012,-0.08,0.235,0.314,3.668,25.036,0.002
MA_CE_a0,1,66,0.001,0.025,0,0.002,0.016,-0.082,0.073,0.155,-0.422,1.835,0.003
MA_PL_a120,1,128,0,0.029,0,0,0.016,-0.155,0.14,0.295,-0.371,9.106,0.003
CE_UR_a60,1,145,0.002,0.022,0,0.002,0.017,-0.092,0.076,0.167,-0.275,3.114,0.002
JU_UR_a30,1,177,0.002,0.02,0.001,0.002,0.018,-0.089,0.065,0.154,-0.482,1.839,0.002
VE_NN_a150,1,153,-0.002,0.02,0,-0.001,0.016,-0.074,0.052,0.126,-0.458,1.051,0.002
VE_SN_a30,1,153,-0.002,0.02,0,-0.001,0.016,-0.074,0.052,0.126,-0.458,1.051,0.002
VE_UR_a0,1,67,-0.002,0.031,0.001,0.001,0.015,-0.18,0.062,0.242,-2.806,14.375,0.004
VS_NE_a103,1,113,0.005,0.018,0.003,0.003,0.014,-0.03,0.066,0.095,0.89,1.432,0.002
PA_NE_a36,1,146,0.005,0.027,0.002,0.002,0.014,-0.063,0.235,0.298,4.133,32.244,0.002
SU_VS_a45,1,180,0.003,0.033,0.002,0.004,0.016,-0.19,0.134,0.324,-1.373,9.983,0.002
SU_JN_a180,1,44,0.002,0.032,-0.001,-0.001,0.013,-0.061,0.14,0.202,1.955,6.845,0.005
PA_PL_a90,1,154,0.004,0.018,0.005,0.004,0.015,-0.059,0.061,0.12,-0.102,1.464,0.001
MA_CH_a144,1,134,0.006,0.026,0,0.003,0.017,-0.053,0.12,0.173,1.504,4.217,0.002
CE_CH_a144,1,113,-0.001,0.02,0,0.001,0.012,-0.081,0.052,0.133,-1.099,3.22,0.002
VE_JN_a135,1,107,0.004,0.018,0.003,0.003,0.013,-0.061,0.078,0.14,0.658,3.894,0.002
NN_NE_a144,1,166,0.004,0.04,0.002,0.002,0.021,-0.161,0.161,0.323,0.493,4.453,0.003
SN_NE_a36,1,166,0.004,0.04,0.002,0.002,0.021,-0.161,0.161,0.323,0.493,4.453,0.003
ME_PH_a180,1,68,0.003,0.023,0.002,0.002,0.016,-0.04,0.115,0.156,1.827,6.874,0.003
CE_NE_a72,1,76,0.001,0.021,0,0.001,0.015,-0.074,0.077,0.15,0.093,3.162,0.002
MA_VS_a30,1,145,0.001,0.018,0.001,0,0.012,-0.071,0.06,0.131,-0.052,2.715,0.002
ME_SA_a0,1,77,-0.003,0.023,-0.002,0,0.017,-0.09,0.035,0.124,-1.253,2.613,0.003
PA_NN_a180,1,48,0.008,0.033,-0.001,0.002,0.011,-0.04,0.161,0.201,2.678,8.841,0.005
PA_SN_a0,1,48,0.008,0.033,-0.001,0.002,0.011,-0.04,0.161,0.201,2.678,8.841,0.005
JU_PH_a144,1,207,0.006,0.049,0,0.004,0.033,-0.18,0.188,0.368,0.444,3.811,0.003
VE_PH_a120,1,143,-0.001,0.03,-0.002,-0.002,0.016,-0.169,0.13,0.299,-0.25,9.838,0.002
CE_NN_a144,1,154,-0.004,0.024,-0.001,-0.002,0.014,-0.136,0.065,0.201,-1.775,8.613,0.002
CE_SN_a36,1,153,-0.004,0.024,-0.001,-0.002,0.014,-0.136,0.065,0.201,-1.771,8.545,0.002
MA_CH_a150,1,153,0.001,0.029,0,0,0.017,-0.118,0.121,0.239,0.142,6.039,0.002
VE_JN_a144,1,121,0,0.019,0.001,0,0.013,-0.068,0.057,0.125,-0.106,1.951,0.002
MA_PH_a180,1,54,-0.005,0.019,-0.004,-0.004,0.015,-0.055,0.037,0.092,-0.408,0.557,0.003
PA_UR_a30,1,80,0.008,0.041,0.002,0.004,0.018,-0.074,0.266,0.34,3.219,17.683,0.005
VS_PH_a150,1,164,0.002,0.041,0.001,0.002,0.018,-0.161,0.327,0.489,2.665,24.845,0.003
