PredictFile,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-ensamble-gakknn-MIHA.csv,2020-11-28T20:13:54.247137Z,4,0.618,0.472,0.541,0.533,0.181,0.12,0.532,0.429,0.393,0.367,0.118,0.067
ADA-USD-predict-ensamble-gakknn-MIHB.csv,2020-11-28T21:52:35.448914Z,4,0.684,0.571,0.606,0.6,0.119,0.062,0.587,0.594,0.558,0.567,0.088,0.064
ADA-USD-predict-ensamble-gakknn-MIHC.csv,2020-11-29T07:49:15.684471Z,3,0.679,0.516,0.541,0.533,0.146,0.043,0.592,0.561,0.492,0.5,0.106,0.12
ADA-USD-predict-ensamble-gakknn-MIHD.csv,2020-11-29T09:30:44.232831Z,3,0.663,0.517,0.509,0.533,0.129,0.029,0.543,0.515,0.489,0.3,0.109,0.194
ADA-USD-predict-ensamble-gakknn-MIHDA.csv,2020-11-29T10:57:55.870338Z,3,0.672,0.427,0.507,0.433,0.233,0.157,0.565,0.515,0.556,0.467,0.087,0.114
ADA-USD-predict-ensamble-gakknn-MIHDB.csv,2020-11-29T12:56:40.226714Z,3,0.678,0.571,0.623,0.633,0.121,0.091,0.505,0.527,0.574,0.6,0.168,0.085
ADA-USD-predict-ensamble-gakknn-MIHDC.csv,2020-11-29T15:08:06.437196Z,3,0.668,0.506,0.46,0.5,0.138,0.09,0.56,0.549,0.54,0.467,0.112,0.075
ADA-USD-predict-ensamble-gakknn-MIHDD.csv,2020-11-29T16:26:29.046169Z,3,0.636,0.516,0.525,0.533,0.13,0.017,0.559,0.492,0.572,0.433,0.143,0.195
ADA-USD-predict-ensamble-gakknn-MIHE.csv,2020-11-29T17:39:19.627132Z,3,0.619,0.484,0.509,0.567,0.147,0.072,0.575,0.483,0.525,0.533,0.102,0.073
ADA-USD-predict-ensamble-gakknn-MIHF.csv,2020-11-29T19:03:06.976703Z,3,0.613,0.362,0.36,0.3,0.172,0.06,0.549,0.473,0.41,0.4,0.082,0.11
ADA-USD-predict-ensamble-gakknn-NA.csv,2020-11-29T21:34:18.939476Z,3,0.636,0.473,0.41,0.4,0.123,0.11,0.482,0.425,0.488,0.233,0.164,0.276
ADA-USD-predict-ensamble-gakknn-NAA.csv,2020-11-30T08:05:53.123795Z,2,0.641,0.428,0.392,0.333,0.131,0.086,0.466,0.273,0.277,0.167,0.153,0.11
ADA-USD-predict-ensamble-gakknn-NAB.csv,2020-11-30T09:35:41.605867Z,2,0.604,0.516,0.474,0.367,0.053,0.129,0.488,0.382,0.39,0.2,0.074,0.191
ADA-USD-predict-ensamble-gakknn-NAC.csv,2020-11-30T11:02:43.169481Z,2,0.619,0.493,0.472,0.345,0.081,0.132,0.473,0.459,0.439,0.31,0.126,0.133
ADA-USD-predict-ensamble-gakknn-NAD.csv,2020-11-30T11:52:52.581543Z,2,0.638,0.526,0.506,0.367,0.093,0.144,0.463,0.394,0.425,0.333,0.104,0.106
ADA-USD-predict-ensamble-gakknn-NAE.csv,2020-11-30T13:25:09.226009Z,2,0.636,0.407,0.344,0.3,0.157,0.118,0.537,0.537,0.523,0.4,0.094,0.125
ADA-USD-predict-ensamble-gakknn-NAF.csv,2020-11-30T14:10:36.616821Z,2,0.631,0.46,0.49,0.4,0.127,0.104,0.505,0.415,0.473,0.3,0.139,0.199
ADA-USD-predict-ensamble-gakknn-NAG.csv,2020-11-30T17:14:37.496680Z,2,0.608,0.473,0.426,0.433,0.122,0.081,0.553,0.472,0.475,0.467,0.11,0.01
ADA-USD-predict-ensamble-gakknn-NAGA.csv,2020-11-30T19:26:04.598710Z,2,0.603,0.439,0.409,0.333,0.106,0.092,0.504,0.372,0.425,0.367,0.125,0.109
ADA-USD-predict-ensamble-gakknn-NAH.csv,2020-11-30T21:23:17.071050Z,2,0.63,0.496,0.46,0.533,0.132,0.096,0.499,0.427,0.507,0.433,0.14,0.157
ADA-USD-predict-ensamble-gakknn-NAHA.csv,2020-12-01T11:28:22.972848Z,1,0.615,0.508,0.445,0.6,0.191,0.189,0.526,0.55,0.625,0.767,0.127,0.192
ADA-USD-predict-ensamble-gakknn-NB.csv,2020-12-01T12:21:05.624935Z,1,0.636,0.506,0.459,0.467,0.11,0.082,0.493,0.459,0.539,0.433,0.143,0.174
ADA-USD-predict-ensamble-gakknn-NBA.csv,2020-12-01T13:42:19.032835Z,1,0.661,0.592,0.572,0.467,0.106,0.111,0.468,0.353,0.363,0.5,0.185,0.138
ADA-USD-predict-ensamble-gakknn-NBB.csv,2020-12-01T14:04:13.958102Z,1,0.641,0.515,0.489,0.333,0.086,0.162,0.532,0.451,0.442,0.433,0.065,0.017
ADA-USD-predict-ensamble-gakknn-NBC.csv,2020-12-01T15:54:48.422440Z,1,0.626,0.429,0.333,0.233,0.11,0.194,0.462,0.426,0.483,0.467,0.084,0.101
ADA-USD-predict-ensamble-gakknn-NBCA.csv,2020-12-01T15:55:57.612516Z,1,0.583,0.517,0.475,0.467,0.071,0.073,0.664,0.604,0.555,0.433,0.145,0.148
ADA-USD-predict-ensamble-gakknn-NC.csv,2020-12-01T18:39:00.661182Z,1,0.633,0.549,0.573,0.533,0.105,0.058,0.492,0.375,0.362,0.433,0.138,0.075
ADA-USD-predict-ensamble-gakknn-NCA.csv,2020-12-01T18:41:37.220178Z,1,0.58,0.461,0.542,0.6,0.169,0.151,0.45,0.395,0.425,0.367,0.113,0.079
ADA-USD-predict-ensamble-gakknn-NCB.csv,2020-12-01T20:30:01.856196Z,1,0.598,0.408,0.312,0.333,0.161,0.168,0.423,0.296,0.327,0.3,0.136,0.061
ADA-USD-predict-ensamble-gakknn-NCC.csv,2020-12-01T20:41:57.634347Z,1,0.531,0.441,0.444,0.533,0.131,0.089,0.421,0.462,0.493,0.567,0.073,0.091
ADA-USD-predict-ensamble.csv,2020-11-03T16:16:41.526855Z,29,0.597,0.537,0.539,0.4,0.066,0.139,0.51,0.426,0.489,0.3,0.171,0.218
ADA-USD-predict-glmLDC-ensamble.csv,2020-10-29T15:26:36.144748Z,34,0.603,0.515,0.523,0.433,0.097,0.091,0.516,0.383,0.374,0.2,0.148,0.175
ADA-USD-predict-glmLDD-ensamble.csv,2020-11-03T16:19:44.073279Z,29,0.555,0.494,0.49,0.4,0.117,0.09,0.499,0.405,0.407,0.233,0.148,0.174
ADA-USD-predict-glmLDF-ensamble.csv,2020-10-30T18:45:10.299369Z,33,0.565,0.559,0.555,0.4,0.085,0.155,0.465,0.294,0.374,0.167,0.178,0.249
ADA-USD-predict-glmLDG-ensamble.csv,2020-11-04T08:21:26.391272Z,28,0.576,0.537,0.555,0.433,0.113,0.126,0.509,0.404,0.44,0.267,0.142,0.184
ADA-USD-predict-kknnLDA-ensamble.csv,2020-10-31T10:56:26.514571Z,32,0.588,0.54,0.444,0.5,0.138,0.177,0.51,0.494,0.525,0.533,0.105,0.053
ADA-USD-predict-kknnLDAA-ensamble.csv,2020-10-31T11:04:03.724938Z,32,0.604,0.551,0.476,0.5,0.111,0.132,0.494,0.461,0.525,0.533,0.111,0.111
ADA-USD-predict-kknnLDAB-ensamble.csv,2020-10-31T18:26:17.047512Z,32,0.62,0.559,0.539,0.433,0.064,0.112,0.455,0.448,0.556,0.467,0.187,0.207
ADA-USD-predict-kknnLDAC-ensamble.csv,2020-10-31T08:03:45.211416Z,32,0.609,0.56,0.54,0.467,0.06,0.081,0.477,0.382,0.456,0.3,0.187,0.203
ADA-USD-predict-kknnLDAD-ensamble.csv,2020-11-01T11:35:01.112295Z,31,0.604,0.581,0.572,0.433,0.093,0.139,0.45,0.359,0.456,0.267,0.212,0.252
ADA-USD-predict-kknnLDAE-ensamble.csv,2020-11-03T14:16:45.017218Z,29,0.642,0.592,0.572,0.433,0.099,0.143,0.455,0.416,0.525,0.533,0.155,0.188
ADA-USD-predict-kknnLDAF-ensamble.csv,2020-11-01T12:48:37.182381Z,31,0.647,0.625,0.604,0.433,0.137,0.174,0.461,0.494,0.59,0.6,0.129,0.168
ADA-USD-predict-kknnLDAG-ensamble.csv,2020-11-03T14:56:16.898897Z,29,0.647,0.56,0.506,0.4,0.072,0.141,0.558,0.514,0.621,0.5,0.203,0.221
ADA-USD-predict-kknnLDAH-ensamble.csv,2020-11-03T19:02:37.921138Z,29,0.582,0.582,0.573,0.5,0.147,0.074,0.417,0.404,0.523,0.4,0.21,0.239
ADA-USD-predict-kknnLDB-ensamble.csv,2020-11-04T12:58:11.405023Z,28,0.598,0.57,0.554,0.367,0.154,0.189,0.412,0.24,0.31,0.2,0.201,0.163
