PredictFile,Created,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-kknnLDK-ensamble.csv,2020-11-08T16:36:37.350503Z,0.657,0.521,0.412,0.151,0.156,0.514,0.446,0.294,0.149,0.229
ADA-USD-predict-kknnLDL-ensamble.csv,2020-11-08T17:21:39.323482Z,0.59,0.659,0.765,0.103,0.092,0.48,0.544,0.647,0.226,0.09
ADA-USD-predict-kknnLDM-ensamble.csv,2020-11-08T18:06:57.215540Z,0.615,0.52,0.294,0.176,0.207,0.468,0.286,0.059,0.157,0.238
ADA-USD-predict-kknnLDN-ensamble.csv,2020-11-09T10:13:29.467239Z,0.646,0.564,0.412,0.156,0.145,0.525,0.425,0.294,0.119,0.145
ADA-USD-predict-kknnLDO-ensamble.csv,2020-11-09T14:36:05.535553Z,0.635,0.504,0.235,0.134,0.236,0.404,0.355,0.353,0.258,0.256
ADA-USD-predict-kknnLDP-ensamble.csv,2020-11-10T14:20:58.144577Z,0.734,0.688,0.588,0.126,0.091,0.591,0.406,0.235,0.15,0.15
ADA-USD-predict-kknnLDQ-ensamble.csv,2020-11-10T17:14:17.181104Z,0.728,0.531,0.412,0.165,0.112,0.509,0.345,0.412,0.245,0.062
ADA-USD-predict-kknnLDQA-ensamble.csv,2020-11-11T12:23:21.224941Z,0.744,0.573,0.471,0.111,0.098,0.515,0.455,0.353,0.256,0.165
ADA-USD-predict-kknnLDR-ensamble.csv,2020-11-11T13:38:27.557500Z,0.673,0.435,0.353,0.154,0.075,0.596,0.524,0.588,0.085,0.069
ADA-USD-predict-xgblinearLN-ensamble.csv,2020-10-26T08:29:35.295583Z,0.689,0.583,0.529,0.135,0.228,0.601,0.469,0.294,0.086,0.176
BAT-USD-predict-ensamble-gakknn-MA.csv,2020-11-14T11:52:57.852454Z,0.766,0.563,0.471,0.075,0.177,0.48,0.468,0.588,0.129,0.175
BAT-USD-predict-ensamble-gakknn-MAA.csv,2020-11-14T20:13:04.060657Z,0.716,0.564,0.412,0.036,0.161,0.541,0.506,0.765,0.136,0.224
BAT-USD-predict-ensamble-gakknn-MAB.csv,2020-11-14T21:17:43.176423Z,0.711,0.636,0.529,0.149,0.12,0.493,0.462,0.529,0.096,0.121
BAT-USD-predict-ensamble-gakknn-MAC.csv,2020-11-14T22:07:31.404421Z,0.753,0.466,0.412,0.11,0.062,0.557,0.482,0.529,0.159,0.048
BAT-USD-predict-ensamble-gakknn-MAD.csv,2020-11-15T09:49:16.984153Z,0.776,0.652,0.706,0.069,0.149,0.579,0.48,0.588,0.119,0.097
BAT-USD-predict-ensamble-gakknn-MAE.csv,2020-11-15T12:09:24.328929Z,0.527,0.421,0.429,0.13,0.033,0.491,0.5,0.357,0.2,0.173
BAT-USD-predict-ensamble-gakknn-MAF.csv,2020-11-15T13:18:08.737570Z,0.557,0.507,0.471,0.061,0.052,0.687,0.569,0.588,0.152,0.031
BAT-USD-predict-ensamble-gakknn-MAG.csv,2020-11-15T14:16:49.259425Z,0.632,0.75,0.333,0.315,0.363,0.084,0,0,0.188,0
BAT-USD-predict-ensamble-gakknn-MAH.csv,2020-11-15T15:20:13.124242Z,0.677,0.453,0.471,0.123,0.059,0.514,0.342,0.471,0.19,0.136
BAT-USD-predict-ensamble-gakknn-MB.csv,2020-11-15T17:49:46.247405Z,0.623,0.523,0.647,0.123,0.151,0.643,0.377,0.412,0.225,0.097
BAT-USD-predict-ensamble-gakknn-MBA.csv,2020-11-15T19:21:20.957935Z,0.597,0.475,0.471,0.09,0.123,0.618,0.747,0.706,0.217,0.14
