PredictFile,Created,ProdDays,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-kknnLDQ-ensamble.csv,2020-11-10T16:41:23.150721Z,18,0.67,0.525,0.393,0.154,0.122,0.44,0.327,0.357,0.238,0.034
ADA-USD-predict-kknnLDQA-ensamble.csv,2020-11-10T18:37:59.950003Z,18,0.707,0.594,0.536,0.124,0.067,0.467,0.433,0.286,0.176,0.189
ADA-USD-predict-kknnLDR-ensamble.csv,2020-11-11T13:09:49.858550Z,17,0.598,0.448,0.393,0.129,0.054,0.554,0.471,0.429,0.084,0.055
ADA-USD-predict-xgblinearLN-ensamble.csv,2020-10-25T20:58:03.842234Z,34,0.631,0.604,0.593,0.179,0.223,0.598,0.457,0.259,0.084,0.193
BAT-USD-predict-ensamble-gakknn-MA.csv,2020-11-13T20:52:32.173395Z,15,0.702,0.62,0.643,0.14,0.159,0.466,0.474,0.607,0.113,0.182
BAT-USD-predict-ensamble-gakknn-MAA.csv,2020-11-14T19:44:08.694232Z,14,0.685,0.63,0.607,0.076,0.094,0.483,0.489,0.714,0.109,0.195
BAT-USD-predict-ensamble-gakknn-MAB.csv,2020-11-14T20:24:09.873917Z,14,0.686,0.615,0.464,0.151,0.151,0.441,0.452,0.5,0.089,0.113
BAT-USD-predict-ensamble-gakknn-MAC.csv,2020-11-14T21:31:32.680534Z,14,0.695,0.459,0.393,0.161,0.071,0.516,0.472,0.5,0.135,0.035
BAT-USD-predict-ensamble-gakknn-MAD.csv,2020-11-14T22:15:36.788419Z,14,0.735,0.584,0.5,0.139,0.159,0.532,0.462,0.536,0.1,0.069
BAT-USD-predict-ensamble-gakknn-MAE.csv,2020-11-15T09:57:00.517447Z,13,0.485,0.428,0.45,0.128,0.038,0.485,0.464,0.25,0.192,0.221
BAT-USD-predict-ensamble-gakknn-MAF.csv,2020-11-15T12:20:37.813950Z,13,0.543,0.516,0.5,0.067,0.044,0.679,0.576,0.607,0.157,0.038
BAT-USD-predict-ensamble-gakknn-MAG.csv,2020-11-15T13:43:50.044474Z,13,0.653,0.76,0.364,0.354,0.346,0.114,0.152,0.455,0.227,0.262
BAT-USD-predict-ensamble-gakknn-MAH.csv,2020-11-15T14:29:17.633017Z,13,0.625,0.427,0.393,0.169,0.064,0.445,0.375,0.571,0.15,0.187
BAT-USD-predict-ensamble-gakknn-MB.csv,2020-11-15T17:07:11.628466Z,13,0.559,0.533,0.679,0.149,0.164,0.618,0.358,0.357,0.239,0.092
BAT-USD-predict-ensamble-gakknn-MBA.csv,2020-11-15T18:45:33.031715Z,13,0.539,0.449,0.393,0.117,0.132,0.652,0.726,0.643,0.247,0.153
BAT-USD-predict-ensamble-gakknn-MBB.csv,2020-11-15T19:29:52.250656Z,13,0.504,0.496,0.643,0.131,0.134,0.44,0.657,0.75,0.155,0.092
BAT-USD-predict-ensamble-gakknn-MBC.csv,2020-11-15T20:19:25.968452Z,13,0.691,0.598,0.643,0.11,0.099,0.391,0.346,0.679,0.176,0.299
BAT-USD-predict-ensamble-gakknn-MBD.csv,2020-11-15T21:27:38.714409Z,13,0.657,0.481,0.429,0.14,0.061,0.544,0.385,0.393,0.229,0.252
