PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JU_PL_a60,1,107,0,0.06,-0.003,-0.002,0.044,-0.155,0.233,0.387,0.517,1.783,0.006
VE_CE_a144,1,29,0.002,0.068,-0.005,0.001,0.044,-0.166,0.197,0.363,0.381,1.581,0.013
VS_SA_a36,1,22,0.007,0.071,-0.003,-0.002,0.03,-0.112,0.233,0.345,1.503,2.781,0.015
MA_JU_a0,1,15,0.029,0.093,0.007,0.024,0.076,-0.112,0.233,0.345,0.604,-0.569,0.024
JN_CH_a45,1,20,-0.002,0.079,-0.004,-0.013,0.04,-0.112,0.233,0.345,1.318,1.866,0.018
VE_CE_a150,1,29,0.002,0.062,-0.004,-0.006,0.036,-0.083,0.233,0.316,1.933,4.868,0.012
SN_PH_a45,1,48,-0.013,0.061,-0.007,-0.013,0.05,-0.155,0.129,0.284,-0.135,-0.071,0.009
NN_PH_a135,1,48,-0.013,0.061,-0.007,-0.013,0.05,-0.155,0.129,0.284,-0.135,-0.071,0.009
VS_NE_a103,1,23,-0.023,0.052,-0.013,-0.017,0.03,-0.155,0.047,0.202,-0.967,0.173,0.011
VS_NN_a103,1,26,-0.013,0.053,-0.01,-0.01,0.037,-0.155,0.093,0.248,-0.539,0.795,0.01
VS_PH_a30,1,27,0.011,0.082,-0.008,0.011,0.062,-0.155,0.197,0.351,0.33,-0.333,0.016
JN_NE_a30,1,19,-0.02,0.055,-0.019,-0.016,0.045,-0.155,0.048,0.203,-0.901,0.16,0.013
JN_UR_a72,1,20,-0.004,0.057,0.007,0.004,0.048,-0.155,0.069,0.224,-1.133,0.758,0.013
JN_PH_a45,1,23,-0.001,0.051,0.005,0.006,0.028,-0.155,0.069,0.223,-1.387,1.89,0.011
VS_SA_a30,1,22,0.004,0.045,0.016,0.007,0.047,-0.108,0.06,0.168,-0.685,-0.546,0.01
MA_CE_a103,1,22,-0.004,0.038,-0.004,-0.002,0.04,-0.108,0.06,0.168,-0.645,0.449,0.008
JN_NN_a180,1,69,0.011,0.045,0.011,0.009,0.038,-0.108,0.154,0.261,0.59,1.513,0.005
JN_SN_a0,1,69,0.011,0.045,0.011,0.009,0.038,-0.108,0.154,0.261,0.59,1.513,0.005
MA_SA_a36,1,31,-0.001,0.039,0.002,0,0.021,-0.108,0.078,0.186,-0.381,0.818,0.007
VS_SN_a72,1,24,-0.011,0.034,-0.006,-0.01,0.029,-0.108,0.06,0.168,-0.499,1.029,0.007
