PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
SANE_a150,220,182,402,0.55,0.45
SANE_a180,145,89,234,0.62,0.38
SANE_a30,269,182,451,0.6,0.4
SANE_a45,242,220,462,0.52,0.48
SANE_a60,389,246,635,0.61,0.39
SANE_a90,317,248,565,0.56,0.44
SAPL_a0,329,252,581,0.57,0.43
SAPL_a103,208,194,402,0.52,0.48
SAPL_a120,247,168,415,0.6,0.4
SAPL_a135,213,168,381,0.56,0.44
SAPL_a150,198,173,371,0.53,0.47
SAPL_a180,94,138,232,0.41,0.59
SAPL_a30,326,227,553,0.59,0.41
SAPL_a45,250,187,437,0.57,0.43
SAPL_a60,248,185,433,0.57,0.43
SAPL_a90,235,185,420,0.56,0.44
SAUR_a0,170,131,301,0.56,0.44
SAUR_a103,279,226,505,0.55,0.45
SAUR_a120,293,226,519,0.56,0.44
SAUR_a135,296,218,514,0.58,0.42
SAUR_a150,294,185,479,0.61,0.39
SAUR_a180,141,139,280,0.5,0.5
SAUR_a30,279,280,559,0.5,0.5
SAUR_a45,272,282,554,0.49,0.51
SAUR_a60,237,152,389,0.61,0.39
SAUR_a90,109,117,226,0.48,0.52
SUJU_a0,198,165,363,0.55,0.45
SUJU_a103,304,181,485,0.63,0.37
SUJU_a120,268,206,474,0.57,0.43
SUJU_a135,252,195,447,0.56,0.44
SUJU_a150,239,203,442,0.54,0.46
SUJU_a180,148,112,260,0.57,0.43
SUJU_a30,315,271,586,0.54,0.46
SUJU_a45,322,251,573,0.56,0.44
SUJU_a60,307,249,556,0.55,0.45
SUJU_a90,275,235,510,0.54,0.46
SUMA_a0,286,202,488,0.59,0.41
SUMA_a103,220,177,397,0.55,0.45
SUMA_a120,192,135,327,0.59,0.41
SUMA_a135,156,99,255,0.61,0.39
SUMA_a150,113,111,224,0.5,0.5
SUMA_a180,52,64,116,0.45,0.55
SUMA_a30,408,337,745,0.55,0.45
SUMA_a45,405,310,715,0.57,0.43
SUMA_a60,354,302,656,0.54,0.46
SUMA_a90,257,222,479,0.54,0.46
SUNE_a0,171,132,303,0.56,0.44
SUNE_a103,269,251,520,0.52,0.48
SUNE_a120,300,215,515,0.58,0.42
SUNE_a135,291,242,533,0.55,0.45
SUNE_a150,277,238,515,0.54,0.46
SUNE_a180,168,142,310,0.54,0.46
SUNE_a30,299,212,511,0.59,0.41
SUNE_a45,273,230,503,0.54,0.46
SUNE_a60,302,208,510,0.59,0.41
SUNE_a90,313,206,519,0.6,0.4
SUPL_a0,178,126,304,0.59,0.41
SUPL_a103,288,226,514,0.56,0.44
SUPL_a120,298,214,512,0.58,0.42
SUPL_a135,301,227,528,0.57,0.43
SUPL_a150,277,240,517,0.54,0.46
SUPL_a180,173,133,306,0.57,0.43
SUPL_a30,289,223,512,0.56,0.44
SUPL_a45,284,229,513,0.55,0.45
SUPL_a60,277,240,517,0.54,0.46
SUPL_a90,305,225,530,0.58,0.42
SUSA_a0,183,142,325,0.56,0.44
SUSA_a103,268,229,497,0.54,0.46
SUSA_a120,252,248,500,0.5,0.5
SUSA_a135,261,236,497,0.53,0.47
SUSA_a150,276,213,489,0.56,0.44
SUSA_a180,192,100,292,0.66,0.34
SUSA_a30,305,244,549,0.56,0.44
SUSA_a45,338,215,553,0.61,0.39
SUSA_a60,278,254,532,0.52,0.48
SUSA_a90,288,223,511,0.56,0.44
SUUR_a0,183,133,316,0.58,0.42
SUUR_a103,272,235,507,0.54,0.46
SUUR_a120,268,246,514,0.52,0.48
SUUR_a135,286,224,510,0.56,0.44
SUUR_a150,273,229,502,0.54,0.46
SUUR_a180,175,135,310,0.56,0.44
SUUR_a30,292,222,514,0.57,0.43
SUUR_a45,313,207,520,0.6,0.4
SUUR_a60,285,238,523,0.54,0.46
SUUR_a90,290,222,512,0.57,0.43
URNE_a0,739,575,1314,0.56,0.44
URNE_a30,838,619,1457,0.58,0.42
URNE_a45,626,422,1048,0.6,0.4
URPL_a103,388,251,639,0.61,0.39
URPL_a30,134,102,236,0.57,0.43
URPL_a45,677,497,1174,0.58,0.42
URPL_a60,767,516,1283,0.6,0.4
URPL_a90,600,438,1038,0.58,0.42
VEJU_a0,206,175,381,0.54,0.46
