PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
VS_NE_a36,1,160,0,0.016,0.002,0.001,0.011,-0.088,0.056,0.143,-1.565,7.855,0.001
VS_PH_a180,1,134,0.003,0.012,0.002,0.002,0.011,-0.025,0.038,0.064,0.539,0.317,0.001
VS_SA_a30,1,223,0,0.013,0,0,0.01,-0.042,0.048,0.09,0,1.485,0.001
VS_NE_a30,1,167,0.003,0.015,0.003,0.002,0.01,-0.028,0.107,0.135,2.052,12.831,0.001
SA_NE_a0,1,185,0.001,0.02,0.003,0.002,0.017,-0.083,0.081,0.164,-0.19,2.551,0.001
CE_PH_a60,1,207,-0.001,0.017,-0.001,0,0.012,-0.063,0.087,0.15,0.249,4.519,0.001
NN_UR_a60,1,258,0,0.019,0.001,0.001,0.01,-0.083,0.08,0.163,-0.524,5.525,0.001
SN_UR_a120,1,258,0,0.019,0.001,0.001,0.01,-0.083,0.08,0.163,-0.524,5.525,0.001
CE_PL_a144,1,208,0.002,0.016,0.001,0.001,0.012,-0.062,0.113,0.175,1.717,12.246,0.001
PA_NN_a0,1,152,-0.002,0.018,-0.001,-0.001,0.012,-0.124,0.061,0.186,-1.835,12.923,0.001
PA_SN_a180,1,152,-0.002,0.018,-0.001,-0.001,0.012,-0.124,0.061,0.186,-1.835,12.923,0.001
CE_JU_a45,1,183,0,0.016,0,-0.001,0.012,-0.043,0.077,0.12,1.003,4.41,0.001
SN_PL_a72,1,190,0.001,0.018,0.001,0.001,0.014,-0.083,0.071,0.154,-0.308,3.459,0.001
CE_PL_a150,1,183,0.001,0.014,0.001,0.001,0.009,-0.104,0.069,0.173,-1.652,18.311,0.001
CE_CH_a72,1,157,0,0.018,0,0,0.012,-0.083,0.064,0.147,-0.355,4.043,0.001
VS_CH_a180,1,142,0.001,0.018,0.001,0.001,0.012,-0.053,0.08,0.132,0.506,3.042,0.002
SA_PL_a60,1,223,0.001,0.013,0.002,0.001,0.01,-0.048,0.046,0.093,0.035,1.602,0.001
